Items, image-src
Old School RuneScape, https://assetsdelivery.eldorado.gg/v7/_assets_/icons/v11/osrs.png?w=28&h=28&q=40
RuneScape 3, https://assetsdelivery.eldorado.gg/v7/_assets_/icons/v11/runescape-3.png?w=28&h=28&q=40
Growtopia, https://assetsdelivery.eldorado.gg/v7/_assets_/icons/v11/growtopia.png?w=28&h=28&q=40
Rocket League0, https://assetsdelivery.eldorado.gg/v7/_assets_/icons/v11/rocket-league.png?w=28&h=28&q=4
Fortnite, https://assetsdelivery.eldorado.gg/v7/_assets_/icons/v11/fortnite.png?w=28&h=28&q=40
Clash of Clans, https://assetsdelivery.eldorado.gg/v7/_assets_/icons/v11/clash-of-clans.png?w=28&h=28&q=40
Escape From Tarkov, https://assetsdelivery.eldorado.gg/v7/_assets_/icons/v11/escape-from-tarkov.png?w=28&h=28&q=40
Roblox, https://assetsdelivery.eldorado.gg/v7/_assets_/icons/v11/roblox.png?w=28&h=28&q=40
Mobile Legends Diamonds, https://assetsdelivery.eldorado.gg/v7/_assets_/icons/v11/mobile-legends.png?w=28&h=28&q=40
League of Legends, https://assetsdelivery.eldorado.gg/v7/_assets_/icons/v11/league-of-legends.png?w=28&h=28&q=40
CSGO, https://assetsdelivery.eldorado.gg/v7/_assets_/icons/v11/csgo.png?w=28&h=28&q=40
Elder Scrolls Online, https://assetsdelivery.eldorado.gg/v7/_assets_/icons/v11/elder-scrolls-online.png?w=28&h=28&q=40
"Albion Online	",
"Borderlands 3	",
"Call of Duty	",
"Clash of Clans	",
"CSGO	",
"Destiny 2	",
"Diablo 2: Resurrected	",
"Elden Ring	",
"Elder Scrolls Online	",
"Escape From Tarkov	",
"EVE Online	",
"Fallout 76	",
"Final Fantasy XIV	",
"Fortnite	",
"Growtopia	",
"Guild Wars 2	",
"League of Legends	",
"Lost Ark	",
"Mobile Legends Diamonds	",
"New World	",
"Old School RuneScape	",
"OSRS FSW	",
"Path of Exile	",
"Pokemon Go	",
"PUBG Mobile	",
"Roblox	",
"Rocket League	",
"RuneScape 3	",
"Runescape FSW	",
"Rust	",
"Team Fortress 2	",
"The Cycle: Frontier	",
"Tiny Tina's Wonderlands	",
"Warframe	",
"World of Warcraft	",
"WoW WotLK	",
