Category,Game,Items,Item Details,game_devices,game_regions,game_servers,game_series
Currency,World of Warcraft(Gold),Dependent,"Region,Server,Faction        ",,,,
Currency,Rocket League(Credits),Device,,,,,
Currency,OSRS(Gold),Simple,,,,,
Currency,Forza Horizon 5(Credits),Device,,,,,
Currency,Warframe(Platinum),Device,"Device: Nintendo Switch,PC,Playstation,Xbox","Nintendo Switch,PC,Playstation,Xbox",,,
Currency,Elden Ring(Runes),Device,"Device:PC,Playstation,Xbox","PC,Playstation,Xbox",,,
Currency,MapleStory,Server,"Server:Aurora,Bera,Elysium,Luna,Reboot(EU),Reboot(NA),Scania",,,"Aurora,Bera,Elysium,Luna,Reboot(EU),Reboot(NA),Scania",
Currency,Runescape FSW,Simple,,,,,
Currency,Undecember,Region,"Region:America,Asia,Europe",,"America,Asia,Europe",,
Currency,"
OSRS FSW",Simple,,,,,
Currency,"
World of Warcraft WotLK",Dependent,"Region: EU,NA,Oceaic ||  Faction:Alliance,Horde ||Server :Different",,,,
Currency,Escape from Tarkov,Simple,,,,,
Currency,Path of Exile,Dependent,"Orbs,Device,Server",,,,
Currency,Fallout 76,Device,"Device:PC,Playstation,Xbox","PC,Playstation,Xbox",,,
Currency,Black Desert Online,"Device,Region","Device:PC,Playstation,Xbox","PC,Playstation,Xbox","EU,Japan,Korea,MENA,NA,Russia,SEA,SouthAmerica",,
Currency,GTA 5,Device,"Device:PC,Playstation 4,PlayStation 5,Xbox One,Xbox Series X/S","PC,Playstation 4,PlayStation 5,Xbox One,Xbox Series X/S",,,
Currency,"
Elder Scrolls Online","Device,Region","Device:PC,Playstation,Xbox","PC,Playstation,Xbox","EU,NA",,
Currency,Temtem,Simple,,,,,
Currency,New World,Dependent,"Region:AP Southeast, EU Southeast, SA East,US East,US West",,,,
Currency,EVE Online,Simple,,,,,
Currency,EVE Echoes,Device,"Device:Android,IOS","Android,IOS",,,
Currency,Albion Online,Simple,,,,,
Currency,Lost Ark,Dependent,"Region:EU Central,EU West, Korea, Russia,SA,US East,US west","Server 1st Dependent:Agaton,Arcturus,Gienah,Kazeros,Vern ",,,
Currency,Guild Wars 2,Region,"Region:EU,NA",,"EU,NA",,
Currency,Final Fantasy XI,Dependent,Server,,,,
Currency,Roblox,Simple,,,,,
Currency,Elite: Dangerous,Simple,,,,,
Currency,8 Ball Pool,Simple,,,,,
Currency,Dofus,Server,"Sever:Draconiros,Hell Mina,Imagiro,Orukam,Shadow,Tal Kasha,Tylezia",,,"Draconiros,Hell Mina,Imagiro,Orukam,Shadow,Tal Kasha,Tylezia",
Currency,RuneScape 3 (Gold),Simple,,,,,
Currency,WoW Classic (Gold),Dependent,"Region:EU,NA & OC ||| Faction:Alliance,Horde","Realm 1st dependent:Bonecythe,Dreadnaught,Ironfoe,Kingsfall,Quel'Serrar",,,
Currency,FIFA (Coins),"Serie,Device","Game series: FIFA 22, FIFA23 ||| Device:PC,Playstation,Xbox","PC,Playstation,Xbox",,,"FIFA 22, FIFA23"
Currency,Trove (Flux),Device,"Patform/Device:Nintendo Switch,PC,Playstation,Xbox","Nintendo Switch,PC,Playstation,Xbox",,,
