Category,Game,Items,Item Details,game_devices,game_regions,game_servers,game_series,game_unique_selling_propositions,game_ranks,,,,,,,,,,,,,
Accounts,World of Warcraft,Region,Region:,,"EU,NA",,,,,,,,,,,,,,,,,
,Rocket League,Device,Device:,"PC,Playstation,Xbox",,,,,,,,,,,,,,,,,,
,OSRS,,,,,,,,,,,,,,,,,,,,,
,Xbox,,,,,,,,,,,,,,,,,,,,,
,PlayStation,,,,,,,,,,,,,,,,,,,,,
,Forza Horizon 5,Device,Device:,"PC,Xbox",,,,,,,,,,,,,,,,,,
,Activision,,,,,,,,,,,,,,,,,,,,,
,Epic Games,,,,,,,,,,,,,,,,,,,,,
,"
Warframe",Device,Device:,"Nintendo Switch, PC,Playstation,Xbox",,,,,,,,,,,,,,,,,,
,Elden Ring,,,,,,,,,,,,,,,,,,,,,
,Diablo Immortal,,,,,,,,,,,,,,,,,,,,,
,Apex Legends Mobile,,,,,,,,,,,,,,,,,,,,,
,NBA,"Serie,Device",Game Series: || Device:,"Nintendo Switch, PC,Playstation,Xbox",,,"NBA 2K21, NBA 2K22, NBA 2K23",,,,,,,,,,,,,,,
,Tower of Fantasy,Dependent,"Region:Asia-Pacific, Europe, North America,South America, Southeast Asia || Server:Different",,,,,,,,,,,,,,,,,,,
,MapleStory,Server,Server:,,,"Aurora,Bera,Elysium,Luna,Reboot (EU),Reboot (NA),Scania",,,,,,,,,,,,,,,,
,Battlenet,,,,,,,,,,,,,,,,,,,,,
,IMVU,,,,,,,,,,,,,,,,,,,,,
,World of Warcraft WotLK,Region,Region:,,"EU,NA,Ocean",,,,,,,,,,,,,,,,,
,Fortnite,"Unique Selling Proposition,Device",Unique Selling Proposition:|| Device:,"Android, PC,Playstation,Switch, Xbox, IOS",,,,"None,OG Account, Orginal Email, Save The World, Stacked ",,,,,,,,,,,,,,
,League of Legends,"Rank,Server",Rank: || Server: ,,,"Brazil, Europe Nordic & East,Europe West, Japan,Latin America North, Latin America South,North America,Oceania PBE, Russia, Turkey",,,"Bronze, Diamond+,Gold,Iron,Platinum,Silver,Unassigned,Unranked",,,,,,,,,,,,,
,Clash of Clans,,,,,,,,,,,,,,,,,,,,,
,Escape from Tarkov,,,,,,,,,,,,,,,,,,,,,
,Path of Exile,"Device,Server",Device:|| Server:,"PC,Playstation,Xbox ",,"Hardcore, Ruthless, Ruthless Hardcore, Sanctum, Sanctum Hardcore, Standard",,,,,,,,,,,,,,,,
,CSGO,,,,,,,,,,,,,,,,,,,,,
,PUBG Mobile,,,,,,,,,,,,,,,,,,,,,
