Category,Game,Items,Item Details,game_devices,game_regions,game_servers,game_series,game_orbs,game_dependent_items
Currency,World of Warcraft(Gold),Dependent,"Region,Server,Faction        ",,,,,,"[{""item_type"":""game_factions"",""item_id"":[""Alliance"",""Horde""],""is_dependent"":false},{""item_type"":""game_regions"",""item_id"":[""EU"",""NA""],""is_dependent"":true,""dependent_to"":""game_servers"",""dependencies"":[{""parent_id"":""EU"",""item_id"":[""Aegwynn"",""Aerie Peak"",""Agamaggan"",""Aggra"",""Aggramar"",""Ahn'Qiraj"",""Al'Akir"",""Alexstrasza"",""Alleria"",""Alonsus"",""Aman'Thul"",""Ambossar"",""Anachronos"",""Anetheron"",""Antonidas"",""Anub'arak"",""Arak-arahm"",""Arathi"",""Arathor"",""Archimonde"",""Area 52"",""Argent Dawn"",""Arthas"",""Arygos"",""Ashenvale"",""Aszune"",""Auchindoun"",""Azjol-Nerub"",""Azshara"",""Azuregos"",""Azuremyst"",""Baelgun"",""Balnazzar"",""Blackhand"",""Blackmoore"",""Blackrock"",""Blackscar"",""Blade's Edge"",""Bladefist"",""Bloodfeather"",""Bloodhoof"",""Bloodscalp"",""Blutkessel"",""Booty Bay"",""Borean Tundra"",""Boulderfist"",""Bronze Dragonflight"",""Bronzebeard"",""Burning Blade"",""Burning Legion"",""Burning Steppes"",""C'Thun"",""Chamber of Aspects"",""Chants eternels"",""Cho'gall"",""Chromaggus"",""Colinas Pardas"",""Confrerie du Thorium"",""Conseil des Ombres"",""Crushridge"",""Culte de la Rive noire"",""Daggerspine"",""Dalaran"",""Dalvengyr"",""Darkmoon Faire"",""Darksorrow"",""Darkspear"",""Das Konsortium"",""Das Syndikat"",""Deathguard"",""Deathweaver"",""Deathwing"",""Deephome"",""Defias Brotherhood"",""Dentarg"",""Der Mithrilorden"",""Der Rat von Dalaran"",""Der abyssische Rat"",""Destromath"",""Dethecus"",""Die Aldor"",""Die Arguswacht"",""Die Nachtwache"",""Die Silberne Hand"",""Die Todeskrallen"",""Die ewige Wacht"",""Doomhammer"",""Draenor"",""Dragonblight"",""Dragonmaw"",""Drak'thul"",""Drek'Thar"",""Dun Modr"",""Dun Morogh"",""Dunemaul"",""Durotan"",""Earthen Ring"",""Echsenkessel"",""Eitrigg"",""Eldre'Thalas"",""Elune"",""Emerald Dream"",""Emeriss"",""Eonar"",""Eredar"",""Eversong"",""Executus"",""Exodar"",""Festung der Stürme"",""Fordragon"",""Forscherliga"",""Frostmane"",""Frostmourne"",""Frostwhisper"",""Frostwolf"",""Galakrond"",""Garona"",""Garrosh"",""Genjuros"",""Ghostlands"",""Gilneas"",""Goldrinn"",""Gordunni"",""Gorgonnash"",""Greymane"",""Grim Batol"",""Grom"",""Gul'dan"",""Hakkar"",""Haomarush"",""Hellfire"",""Hellscream"",""Howling Fjord"",""Hyjal"",""Illidan"",""Jaedenar"",""Kael'thas"",""Karazhan"",""Kargath"",""Kazzak"",""Kel'Thuzad"",""Khadgar"",""Khaz Modan"",""Khaz'goroth"",""Kil'Jaeden"",""Kilrogg"",""Kirin Tor"",""Kor'gall"",""Krag'jin"",""Krasus"",""Kul Tiras"",""Kult der Verdammten"",""La Croisade écarlate"",""Laughing Skull"",""Les Clairvoyants"",""Les Sentinelles"",""LichKing"",""Lightbringer"",""Lightning's Blade"",""Lordaeron"",""Los Errantes"",""Lothar"",""Madmortem"",""Magtheridon"",""Mal'Ganis"",""Malfurion"",""Malorne"",""Malygos"",""Mannoroth"",""Marecage de Zangar"",""Mazrigos"",""Medivh"",""Minahonda"",""Molten Core"",""Moonglade"",""Mug'thol"",""Nagrand"",""Nathrezim"",""Naxxramas"",""Nazjatar"",""Nefarian"",""Nemesis"",""Neptulon"",""Ner'zhul"",""Nera'thor"",""Nethersturm"",""Nordrassil"",""Norgannon"",""Nozdormu"",""Onyxia"",""Outland"",""Perenolde"",""Pozzo dell'Eternita"",""Proudmoore"",""Quel'Thalas"",""Ragnaros"",""Rajaxx"",""Rashgarroth"",""Ravencrest"",""Ravenholdt"",""Razuvious"",""Rexxar"",""Runetotem"",""Sanguino"",""Sargeras"",""Saurfang"",""Scarshield Legion"",""Sen'Jin"",""Shadowsong"",""Shattered Halls"",""Shattered Hand"",""Shattrath"",""Shen'dralar"",""Silvermoon"",""Sinstralis"",""Skullcrusher"",""Soulflayer"",""Spinebreaker"",""Sporeggar"",""Steamwheedle Cartel"",""Stormrage"",""Stormreaver"",""Stormscale"",""Sunstrider"",""Suramar"",""Sylvanas"",""Taerar"",""Talnivarr"",""Tarren Mill"",""Teldrassil"",""Temple noir"",""Terenas"",""Terokkar"",""Terrordar"",""The Maelstrom"",""The Sha'tar"",""The Venture Co."",""Theradras"",""Thermaplugg"",""Thrall"",""Throk'Feroth"",""Thunderhorn"",""Tichondrius"",""Tirion"",""Todeswache"",""Trollbane"",""Turalyon"",""Twilight's Hammer"",""Twisting Nether"",""Tyrande"",""Uldaman"",""Ulduar"",""Uldum"",""Un'Goro"",""Varimathras"",""Vashj"",""Vek'lor"",""Vek'nilash"",""Vol'Jin"",""Well of Eternity"",""WildHammer"",""Wrathbringer"",""Xavius"",""Ysera"",""Ysondre"",""Zenedar"",""Zirkel des Cenarius"",""Zul'jin"",""Zuluhed""]},{""parent_id"":""NA"",""item_id"":[""Aegwynn"",""Aerie Peak"",""Agamaggan"",""Aggramar"",""Akama"",""Alexstrasza"",""Alleria"",""Altar of Storms"",""Alterac Mountains"",""Aman'Thul"",""Andorhal"",""Anetheron"",""Antonidas"",""Anub'arak"",""Anvilmar"",""Arathor"",""Archimonde"",""Area 52"",""Argent Dawn"",""Arthas"",""Arygos"",""Auchindoun"",""Azgalor"",""Azjol-Nerub"",""Azralon"",""Azshara"",""Azuremyst"",""Baelgun"",""Balnazzar"",""Barthilas"",""Black Dragonflight"",""Blackhand"",""Blackrock"",""Blackwater Raiders"",""Blackwing Lair"",""Blade's Edge"",""Bladefist"",""Bleeding Hollow"",""Blood Furnace"",""Bloodhoof"",""Bloodscalp"",""Bonechewer"",""Borean Tundra"",""Boulderfist"",""Brazilian"",""Bronzebeard"",""Burning Blade"",""Burning Legion"",""Caelestrasz"",""Cairne"",""Cenarion Circle"",""Cenarius"",""Cho'gall"",""Chromaggus"",""Coilfang"",""Crushridge"",""Daggerspine"",""Dalaran"",""Dalvengyr"",""Dark Iron"",""Darkspear"",""Darrowmere"",""Dath'Remar"",""Dawnbringer"",""Deathwing"",""Demon Soul"",""Dentarg"",""Destromath"",""Dethecus"",""Detheroc"",""Doomhammer"",""Draenor"",""Dragonblight"",""Dragonmaw"",""Drak'Tharon"",""Drak'thul"",""Draka"",""Drakkari"",""Dreadmaul"",""Drenden"",""Dunemaul"",""Durotan"",""Duskwood"",""Earthen Ring"",""Echo Isles"",""Eitrigg"",""Eldre'Thalas"",""Elune"",""Emerald Dream"",""Eonar"",""Eredar"",""Executus"",""Exodar"",""Farstriders"",""Feathermoon"",""Fenris"",""Firetree"",""Fizzcrank"",""Frostmane"",""Frostmourne"",""Frostwolf"",""Galakrond"",""Gallywix"",""Garithos"",""Garona"",""Garrosh"",""Ghostlands"",""Gilneas"",""Gnomeregan"",""Goldrinn"",""Gorefiend"",""Gorgonnash"",""Greymane"",""Grizzly Hills"",""Gul'dan"",""Gundrak"",""Gurubashi"",""Hakkar"",""Haomarush"",""Hellscream"",""Hydraxis"",""Hyjal"",""Icecrown"",""Illidan"",""Jaedenar"",""Jubei'Thos"",""Kael'thas"",""Kalecgos"",""Kargath"",""Kel'Thuzad"",""Khadgar"",""Khaz Modan"",""Khaz'goroth"",""Kil'Jaeden"",""Kilrogg"",""Kirin Tor"",""Korgath"",""Korialstrasz"",""Kul Tiras"",""Laughing Skull"",""Lethon"",""Lightbringer"",""Lightning's Blade"",""Lightninghoof"",""Llane"",""Lothar"",""Madoran"",""Maelstrom"",""Magtheridon"",""Maiev"",""Mal'Ganis"",""Malfurion"",""Malorne"",""Malygos"",""Mannoroth"",""Medivh"",""Misha"",""Mok'Nathal"",""Moon Guard"",""Moonrunner"",""Mug'thol"",""Muradin"",""Nagrand"",""Nathrezim"",""Nazgrel"",""Nazjatar"",""Nemesis"",""Ner'zhul"",""Nesingwary"",""Nordrassil"",""Norgannon"",""Onyxia"",""Perenolde"",""Proudmoore"",""Quel'Thalas"",""Quel'dorei"",""Ragnaros"",""Ravencrest"",""Ravenholdt"",""Rexxar"",""Rivendare"",""Runetotem"",""Sargeras"",""Saurfang"",""Scarlet Crusade"",""Scilla"",""Sen'Jin"",""Sentinels"",""Shadow Council"",""Shadowmoon"",""Shadowsong"",""Shandris"",""Shattered Halls"",""Shattered Hand"",""Shu'halo"",""Silver Hand"",""Silvermoon"",""Sisters of Elune"",""Skullcrusher"",""Skywall"",""Smolderthorn"",""Spinebreaker"",""Spirestone"",""Staghelm"",""Steamwheedle Cartel"",""Stonemaul"",""Stormrage"",""Stormreaver"",""Stormscale"",""Suramar"",""Tanaris"",""Terenas"",""Terokkar"",""Thaurissan"",""The Forgotten Coast"",""The Scryers"",""The Underbog"",""The Venture Co"",""Thorium Brotherhood"",""Thrall"",""Thunderhorn"",""Thunderlord"",""Tichondrius"",""Tol Barad"",""Tortheldrin"",""Trollbane"",""Turalyon"",""Twisting Nether"",""Uldaman"",""Uldum"",""Undermine"",""Ursin"",""Uther"",""Vashj"",""Vek'nilash"",""Velen"",""Warsong"",""Whisperwind"",""WildHammer"",""Windrunner"",""Winterhoof"",""Wyrmrest Accord"",""Ysera"",""Ysondre"",""Zangarmarsh"",""Zul'jin"",""Zuluhed""]}]}]"
Currency,Rocket League(Credits),Device,,"PC,Playstation,Xbox",,,,,
Currency,OSRS(Gold),Simple,,,,,,,
Currency,Forza Horizon 5(Credits),Device,,"PC,Xbox",,,,,
Currency,Warframe(Platinum),Device,"Device: Nintendo Switch,PC,Playstation,Xbox","Nintendo Switch,PC,Playstation,Xbox",,,,,
Currency,Elden Ring(Runes),Device,"Device:PC,Playstation,Xbox","PC,Playstation,Xbox",,,,,
Currency,MapleStory,Server,"Server:Aurora,Bera,Elysium,Luna,Reboot(EU),Reboot(NA),Scania",,,"Aurora,Bera,Elysium,Luna,Reboot(EU),Reboot(NA),Scania",,,
Currency,Runescape FSW,Simple,,,,,,,
Currency,Undecember,Region,"Region:America,Asia,Europe",,"America,Asia,Europe",,,,
Currency,"
OSRS FSW",Simple,,,,,,,
